Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1977-11,842086.5,229430.9,133594,,,95836.9,,,612655.6,188828.2,173612.1,,,,,,,,,136622.1,,,,,113593.2,,,,108306.1,,2879.1,45466.2,1040683.5,871292.5,,,94874.5,,22916.9,978202.9,62480.6
1977-12,852586.1,232034.5,136130.4,,,95904.1,,,620551.6,191227.1,175583.5,,,,,,,,,138972.9,,,,,114768.1,,,,112103.9,,3022.7,45591.7,1057392.3,889966,,,96428.5,,22173.9,996922.6,60469.7
1978-01,853554.7,230476,135335.4,,,95140.6,,,623078.7,191390.1,178146.9,,,,,,,,,140379.2,,,,,113162.5,,,,107800.6,,2977.6,46137,1052855.5,886773.2,,,95008.9,,22001.4,991113.2,61742.3
1978-02,857862.9,231739.8,137267.8,,,94471.9,,,626123.2,192790.5,180042.7,,,,,,,,,140844.4,,,,,112445.6,,,,110166.1,,2758,46216.2,1056799.6,887460.9,,,96529.7,,23014.7,994314.3,62485.3
1978-03,867225.1,233906.3,139095.5,,,94810.8,,,633318.8,196801.5,182208.4,,,,,,,,,142134.5,,,,,112174.4,,,,104321.7,,2581.7,48742,1063598.6,891109.9,,,97186.6,,24599.9,999650.6,63947.9
1978-04,879763.2,236531.1,140747.2,,,95783.8,,,643232.1,200649,184660.7,,,,,,,,,144916.9,,,,,113005.6,,,,107812.3,,2726.5,52209,1085508.8,907948.6,,,100199.7,,25885.5,1021101.1,64407.7
1978-05,888834.3,234461.2,137253.4,,,97207.7,,,654373.1,203824.8,187899.7,,,,,,,,,148022.4,,,,,114626.2,,,,113322.6,,2749.9,51157.3,1094890.6,911107.4,,,101730.7,,28511.4,1029656.9,65233.7
1978-06,899957.8,235302.2,137518.8,,,97783.4,,,664655.6,206784.7,191263.8,,,,,,,,,151317.8,,,,,115289.2,,,,111400,,3123.8,50818.9,1106385.3,922355.5,,,100910.2,,28682.3,1040288.8,66096.6
1978-07,908109.7,233574,136103.6,,,97470.4,,,674535.7,208417.7,194731.2,,,,,,,,,155026.2,,,,,116360.5,,,,114996.8,,2971.1,50838.4,1113875.2,930254.1,,,98688.3,,29116.5,1046884.2,66991
1978-08,914800.1,233707.2,136126.8,,,97580.4,,,681092.9,208717.4,198434,,,,,,,,,158873.7,,,,,115067.7,,,,109920.3,,2945.6,51606.8,1115525.7,925834.4,,,101425.3,,29883.8,1046227.8,69297.8
1978-09,925528.2,236089.5,137489.7,,,98599.8,,,689438.7,210219.7,201780.2,,,,,,,,,160890.4,,,,,116548.4,,,,113972.5,,3123,52642.6,1134013.9,943959.1,,,102156.8,,30319.6,1065163.4,68850.5
1978-10,936254.3,235707.6,136449.8,,,99257.8,,,700546.7,212783.9,205338.3,,,,,,,,,163656.5,,,,,118768,,,,116928.1,,3206.4,52393.6,1145785.3,950816.3,,,106617.6,,30242.7,1076422.8,69362.5
1978-11,947055.2,236393.6,136634.9,,,99758.7,,,710661.6,215330.2,208488.8,,,,,,,,,164489.9,,,,,122352.7,,,,119821.5,,3623.8,54587.3,1166012.4,961145.5,,,113602,,31875,1094828,71184.4
1978-12,956045.4,237919,136772.5,,,101146.5,,,718126.5,217156.1,211058.1,,,,,,,,,165566.7,,,,,124345.5,,,,128867.3,,3814.5,53990.7,1185595.1,978763.5,,,113907.4,,32562.3,1113381.1,72214
1979-01,960793.6,240858,135594.1,,,105264,,,719935.6,218871.9,212277.9,,,,,,,,,165923.9,,,,,122861.8,,,,135807.6,,3931.4,50555.9,1190984,969755.4,,,109240.1,,38350,1106583.4,84400.7
