Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1952-05,127478,72215.2,62085.3,,,10129.9,,,55262.8,21929.3,13990.9,,,,,,,,,10796.1,,,,,,,,,,,,,,,,,,,,,
1952-06,128956.6,72809.4,62588.1,,,10221.3,,,56147.2,22052.5,14133.5,,,,,,,,,11181,,,,,,,,,,,,,,,,,,,,,
1952-07,130772,74165,63766.1,,,10398.9,,,56607.1,22146.1,14186.2,,,,,,,,,11400.8,,,,,,,,,,,,,,,,,,,,,
1952-08,131312.5,74388.3,63721.7,,,10666.6,,,56924.2,22393.7,14276.2,,,,,,,,,11621.7,,,,,,,,,,,,,,,,,,,,,
1952-09,131167.4,74065.4,63294.6,,,10770.8,,,57102,22696.7,14374.7,,,,,,,,,11768.9,,,,,,,,,,,,,,,,,,,,,
1952-10,132688,74911.5,64106.6,,,10804.9,,,57776.4,23068.5,14452.5,,,,,,,,,12058.7,,,,,,,,,,,,,,,,,,,,,
1952-11,134793.9,76233.2,65347.5,,,10885.7,,,58560.7,23443.5,14531.4,,,,,,,,,12306.8,,,,,,,,,,,,,,,,,,,,,
1952-12,134976.4,76259.2,65280.7,,,10978.5,,,58717.2,23230,14615.2,,,,,,,,,12530.7,,,,,,,,,,,,,,,,,,,,,
1953-01,134766,75576.3,64617.1,,,10959.2,,,59189.8,23468.7,14750.9,,,,,,,,,12803.2,,,,,,,,,,,,,,,,,,,,,
1953-02,134273.1,74631.3,63774.8,,,10856.5,,,59641.9,23622.6,14891,,,,,,,,,13076.5,,,,,,,,,,,,,,,,,,,,,
1953-03,133609.3,73324.1,62474.9,,,10849.2,,,60285.3,23698.3,14971.3,,,,,,,,,13397.8,,,,,,,,,,,,,,,,,,,,,
1953-04,132710.9,71821.7,61017.7,,,10804,,,60889.2,23822.8,15041,,,,,,,,,13675.2,,,,,,,,,,,,,,,,,,,,,
1953-05,132124.9,70807.2,60097.1,,,10710.1,,,61317.6,23882.7,15140,,,,,,,,,13893.7,,,,,,,,,,,,,,,,,,,,,
1953-06,132353.7,70764.5,60219.4,,,10545.1,,,61589.2,23760.7,15269.1,,,,,,,,,14012.2,,,,,,,,,,,,,,,,,,,,,
1953-07,135811,73996.7,63454.9,,,10541.8,,,61814.3,23778.2,15316.9,,,,,,,,,14044.3,,,,,,,,,,,,,,,,,,,,,
1953-08,137343.6,75290.2,64648,,,10642.1,,,62053.4,23995.1,15356,,,,,,,,,14194.5,,,,,,,,,,,,,,,,,,,,,
1953-09,137203.6,75162.2,64480.4,,,10681.8,,,62041.3,24013.8,15411.2,,,,,,,,,14316.8,,,,,,,,,,,,,,,,,,,,,
1953-10,137315.4,75397.6,64723.8,,,10673.8,,,61917.9,23982.5,15494,,,,,,,,,14395.5,,,,,,,,,,,,,,,,,,,,,
1953-11,138489.5,76699.2,66009.4,,,10689.8,,,61790.3,23870,15577.5,,,,,,,,,14364.6,,,,,,,,,,,,,,,,,,,,,
1953-12,139024.5,77421.5,66686.8,,,10734.6,,,61603,23168.6,15681.5,,,,,,,,,14482.9,,,,,,,,,,,,,,,,,,,,,
1954-01,139103.3,77833.8,67037.1,,,10796.7,,,61269.5,23011.2,15703.6,,,,,,,,,14495.3,,,,,,,,,,,,,,,,,,,,,
1954-02,138176.6,77282.1,66311.3,,,10970.8,,,60894.5,22952,15707.9,,,,,,,,,14327.8,,,,,,,,,,,,,,,,,,,,,
1954-03,136829.8,75663.1,64582.7,,,11080.4,,,61166.7,22927,15805.3,,,,,,,,,14264.2,,,,,,,,,,,,,,,,,,,,,
1954-04,136990.5,75818.1,64635,,,11183.1,,,61172.4,22798.7,15912.2,,,,,,,,,14203.6,,,,,,,,,,,,,,,,,,,,,
1954-05,138203.8,76974.5,65705.7,,,11268.8,,,61229.3,22669.4,16005.9,,,,,,,,,14164.9,,,,,,,,,,,,,,,,,,,,,
1954-06,139105.7,77495.4,66087.1,,,11408.3,,,61610.2,22513.9,16120.6,,,,,,,,,14221.1,,,,,,,,,,,,,,,,,,,,,
1954-07,140006.3,78336.5,66808.6,,,11527.9,,,61669.8,22439,16281.7,,,,,,,,,14308.5,,,,,,,,,,,,,,,,,,,,,
1954-08,142717.8,80802.3,69194.7,,,11607.6,,,61915.5,22442.2,16454.3,,,,,,,,,14419,,,,,,,,,,,,,,,,,,,,,
1954-09,144242.3,81855.1,70108.2,,,11746.9,,,62387.3,22480.5,16598.9,,,,,,,,,14441.8,,,,,,,,,,,,,,,,,,,,,
1954-10,146795.9,83960.5,72103.1,,,11857.4,,,62835.4,22578.7,16781.5,,,,,,,,,14497.6,,,,,,,,,,,,,,,,,,,,,
1954-11,148181.7,84934.3,73027.7,,,11906.7,,,63247.4,22695.6,16964.9,,,,,,,,,14574.4,,,,,,,,,,,,,,,,,,,,,
1954-12,149695,85765.8,73781,,,11984.8,,,63929.2,22538.2,17198.7,,,,,,,,,14724.2,,,,,,,,,,,,,,,,,,,,,
1955-01,149699,85023.3,72812.4,,,12210.9,,,64675.7,22803.6,17424.7,,,,,,,,,14821.7,,,,,,,,,,,,,,,,,,,,,
1955-02,147718.4,82548.5,70192.5,,,12356,,,65169.9,22990.1,17646.2,,,,,,,,,14955.8,,,,,,,,,,,,,,,,,,,,,
1955-03,146299.4,80296.2,67858.5,,,12437.7,,,66003.1,23187.6,17871.5,,,,,,,,,15181.9,,,,,,,,,,,,,,,,,,,,,
1955-04,146981,80182.3,67733.8,,,12448.5,,,66798.7,23372.3,18073.4,,,,,,,,,15442.8,,,,,,,,,,,,,,,,,,,,,
1955-05,147576.7,79828.4,67533.2,,,12295.3,,,67748.3,23708.5,18286.1,,,,,,,,,15672,,,,,,,,,,,,,,,,,,,,,
1955-06,147608.1,78413.2,66180.3,,,12233,,,69194.9,24110.2,18547.3,,,,,,,,,16080.7,,,,,,,,,,,,,,,,,,,,,
1955-07,148262.2,78111.6,65888.4,,,12223.2,,,70150.7,24526.3,18728.3,,,,,,,,,16296.5,,,,,,,,,,,,,,,,,,,,,
1955-08,148384.7,77607.8,65335.2,,,12272.6,,,70777,24963,18922.9,,,,,,,,,16444.7,,,,,,,,,,,,,,,,,,,,,
1955-09,148476.6,76996.2,64699.4,,,12296.8,,,71480.4,25367.2,19155.7,,,,,,,,,16615.9,,,,,,,,,,,,,,,,,,,,,
1955-10,149792.4,77382.8,65126.1,,,12256.7,,,72409.6,25754.6,19374.7,,,,,,,,,16810.9,,,,,,,,,,,,,,,,,,,,,
1955-11,150222.5,76693.4,64527.4,,,12166,,,73529.1,26440.4,19416.8,,,,,,,,,16950.3,,,,,,,,,,,,,,,,,,,,,
1955-12,150975.6,76510,64416.2,,,12093.8,,,74465.6,26716.1,19459.2,,,,,,,,,17087.9,,,,,,,,,,,,,,,,,,,,,
1956-01,151131,75871.9,63802.5,,,12069.3,,,75259.1,27173.6,19602.9,,,,,,,,,17257.3,,,,,,,,,,,,,,,,,,,,,
1956-02,150426.1,74480.5,62352.9,,,12127.6,,,75945.6,27656.4,19773.5,,,,,,,,,17371,,,,,,,,,,,,,,,,,,,,,
1956-03,150727.4,73475.5,61306.7,,,12168.9,,,77251.9,28528.9,19958.3,,,,,,,,,17548.3,,,,,,,,,,,,,,,,,,,,,
1956-04,151174,72816,60637.4,,,12178.7,,,78358,29285,20158.6,,,,,,,,,17710.6,,,,,,,,,,,,,,,,,,,,,
1956-05,151099.8,71938.6,59844.5,,,12094.2,,,79161.2,29629.9,20340.2,,,,,,,,,17852.3,,,,,,,,,,,,,,,,,,,,,
1956-06,151468.8,71022.4,58969.5,,,12052.9,,,80446.4,30263,20562.8,,,,,,,,,18179,,,,,,,,,,,,,,,,,,,,,
1956-07,151373.7,70438.6,58456.2,,,11982.4,,,80935.2,30725.2,20638.7,,,,,,,,,18305.6,,,,,,,,,,,,,,,,,,,,,
1956-08,152112,71055.7,59027.4,,,12028.4,,,81056.3,31085.5,20711.8,,,,,,,,,18373.7,,,,,,,,,,,,,,,,,,,,,
1956-09,152947,71420.1,59259.2,,,12160.9,,,81527,31445.1,20840,,,,,,,,,18429.2,,,,,,,,,,,,,,,,,,,,,
1956-10,153835.4,71619.7,59538.3,,,12081.5,,,82215.7,31889.5,20973.4,,,,,,,,,18548.2,,,,,,,,,,,,,,,,,,,,,
1956-11,154953.7,72227.7,60236.2,,,11991.5,,,82726,32260.9,21060.4,,,,,,,,,18668.6,,,,,,,,,,,,,,,,,,,,,
1956-12,156152,72684.8,60753.6,,,11931.2,,,83467.2,32473,21198.5,,,,,,,,,18867.8,,,,,,,,,,,,,,,,,,,,,
1957-01,155709.2,72224.9,60306.5,,,11918.4,,,83484.3,32687,21211.1,,,,,,,,,18814.4,,,,,,,,,,,,,,,,,,,,,
1957-02,154785.5,71406.9,59418,,,11988.9,,,83378.7,32689.5,21238.9,,,,,,,,,18805.9,,,,,,,,,,,,,,,,,,,,,
1957-03,154441.9,70495.4,58386.9,,,12108.5,,,83946.5,33040.7,21262.4,,,,,,,,,18929.9,,,,,,,,,,,,,,,,,,,,,
1957-04,155970.9,71427.3,59189.3,,,12238,,,84543.6,33385.6,21273.6,,,,,,,,,19011.7,,,,,,,,,,,,,,,,,,,,,
1957-05,156717.2,71605.2,59268,,,12337.3,,,85112,33636.2,21259.5,,,,,,,,,19176.7,,,,,,,,,,,,,,,,,,,,,
